T_final,c0_death,epsilon_selection,stage,mean_q_range_mean,mean_q_range_sd,median_q_range_mean,median_q_range_sd,mean_top2_gap_mean,mean_top2_gap_sd,median_top2_gap_mean,median_top2_gap_sd,mean_q_sd_across_treatments_mean,mean_q_sd_across_treatments_sd,mean_q_max_mean,mean_q_min_mean,relative_stage
10,-12.0,0.3,1,1.893804781149155,0.15918851771341722,1.3296692175526457,0.11195377288964749,0.33325515840684494,0.021296308665388654,0.27779748559048273,0.010522941044536058,0.6699021618196941,0.05880638347640772,3.9556072225514862,2.061802441402331,0.0
10,-12.0,0.3,2,0.8187073821289683,0.07678598863168433,0.5629293109729663,0.04789051974752519,0.2049751772968386,0.020366579432646397,0.14496526180287447,0.01427492160624618,0.2803234970505181,0.026493085769762566,2.6444950823812485,1.8257877002522804,0.1111111111111111
10,-12.0,0.3,3,0.6171714198706768,0.0531988280543411,0.43732253445308655,0.042042765017906394,0.1503185212623472,0.011482684543771144,0.11960267656612902,0.011349342618076283,0.21035393567839367,0.018547274726555853,1.899320928255245,1.282149508384568,0.2222222222222222
10,-12.0,0.3,4,0.3686438265659501,0.04811297146324689,0.24469918504312202,0.029664989294532082,0.08116037546820373,0.00975402100357487,0.07215522460974556,0.007141671252658628,0.1250615920543972,0.016684834572996948,1.4244833396161236,1.0558395130501732,0.3333333333333333
10,-12.0,0.3,5,0.23431358524285448,0.024392582218755367,0.13133518160314764,0.01337247348888629,0.04461368818640045,0.0040059407978040905,0.040146359645486976,0.0036357196886422955,0.07959891473969817,0.008349438172761093,1.103449828875218,0.8691362436323635,0.4444444444444444
10,-12.0,0.3,6,0.1541466180458379,0.028114743227214772,0.08142427083214346,0.016264864971482065,0.026580546760800426,0.003640213720694667,0.02317468823524247,0.002311964193754838,0.05242438982816462,0.009698458636834616,0.8590148457822275,0.7048682277363896,0.5555555555555556
10,-12.0,0.3,7,0.1274770237027246,0.016255387072537684,0.06291462152133667,0.011911076495499918,0.019427976947597077,0.00209139528065261,0.014715059522967255,0.001489147244335978,0.043420493545402096,0.0055743657458982646,0.6510827084067351,0.5236056847040105,0.6666666666666666
10,-12.0,0.3,8,0.09115050666634146,0.013756169330347527,0.04824416139337227,0.014534531193311629,0.012933822892957622,0.0015715191920694647,0.009333236300904896,0.001623592343855047,0.030992928555500725,0.004656494092660908,0.46233749694428017,0.37118699027793883,0.7777777777777778
10,-12.0,0.3,9,0.06508969318716792,0.010370331522788493,0.03480343165689385,0.01072536684360549,0.008626621977367578,0.0011827948636324778,0.005838315483315043,0.0011661173611447815,0.022055225295539372,0.0034888038400099374,0.2934864804066261,0.22839678721945825,0.8888888888888888
10,-12.0,0.3,10,0.03121258966642565,0.00456305754293265,0.01742970090429779,0.0035524200337809686,0.004009177352672583,0.0005072766235407749,0.0026745829581902554,0.000377855283752264,0.010554304363865012,0.0015315692581598166,0.1378711301437841,0.10665854047735845,1.0
12,-12.0,0.3,1,2.2421774351717514,0.15589538293227803,1.5538539582299549,0.1684443357267009,0.38415409688373375,0.050521902807971114,0.32028302367463835,0.027683941947723972,0.7961744937844761,0.05488680963109447,4.563377157266251,2.3211997220944993,0.0
12,-12.0,0.3,2,0.8967697118951776,0.06642960127164636,0.6389472873776348,0.04744450131109535,0.2246264211671054,0.01720053524591027,0.164961661012706,0.012443131303546847,0.30747799036817713,0.023560519190415914,3.0813311189341785,2.184561407039001,0.09090909090909091
12,-12.0,0.3,3,0.7615726618745697,0.08997267925891247,0.49003859713911063,0.02749555526617336,0.17493853098259285,0.015165499287926947,0.1391236560059317,0.006500544377315083,0.2598409985046224,0.03190521298615271,2.3187343785628842,1.5571617166883143,0.18181818181818182
12,-12.0,0.3,4,0.48508632673178376,0.040907612263506324,0.28596159406350957,0.0207248144095658,0.09884032773557908,0.007377010400714798,0.08585928950117853,0.0059022980117893545,0.16488517677103495,0.01410793614933506,1.8108844519497223,1.3257981252179383,0.2727272727272727
12,-12.0,0.3,5,0.31890497524158007,0.03757293846314654,0.16904027900661797,0.011193846553874249,0.057407705291107156,0.004210996612141645,0.05017248003059993,0.001816092979002363,0.10841377191251973,0.012852437180407726,1.4672149710684583,1.1483099958268785,0.36363636363636365
12,-12.0,0.3,6,0.20934734569907293,0.02972684879960954,0.0998858312093511,0.009694464509784013,0.034645281223228255,0.003911443906181486,0.029440963595677695,0.001767046938400664,0.0711121816865561,0.010084034690934726,1.2075596935975592,0.9982123478984862,0.45454545454545453
12,-12.0,0.3,7,0.15284687761063778,0.014867537856039694,0.06714915808853197,0.012175997214464005,0.02343164603624208,0.0023100529370025597,0.018217965823241266,0.0018044270459412323,0.05195332214323813,0.005118737341276782,0.9852208171339258,0.8323739395232881,0.5454545454545454
12,-12.0,0.3,8,0.10712943103759842,0.016210640543877216,0.05362660860207199,0.015701114490687076,0.01582528793645865,0.0019868055343954306,0.012321703274046091,0.0019347708323424642,0.03646606744733419,0.0055401436562566185,0.7874829904621597,0.6803535594245613,0.6363636363636364
12,-12.0,0.3,9,0.08840238519390478,0.013706676735462529,0.04744880963103106,0.008016125843258478,0.012255155449793182,0.0015640167175555745,0.008971206757583417,0.0008408019085303732,0.030053003320555244,0.004616520201393224,0.6079395906924266,0.5195372054985218,0.7272727272727273
12,-12.0,0.3,10,0.0660524991871343,0.00795257144448624,0.03348617953982212,0.008136914849385939,0.008733210731548058,0.0008850724265538991,0.005794636145347804,0.0008933643910697184,0.02238473387730391,0.0026741759698003004,0.4393065484620906,0.37325404927495626,0.8181818181818182
12,-12.0,0.3,11,0.039046854015411844,0.005360049635478906,0.020054229577488713,0.0031576416704504006,0.005057841982653572,0.000588006227790195,0.0032754737070809503,0.00035472450091571174,0.013213818151491521,0.001801502228672738,0.2856652894506671,0.24661843543525527,0.9090909090909091
12,-12.0,0.3,12,0.020293841459605957,0.004641391922409054,0.00843952102828215,0.0021974510131336417,0.0025406247672532145,0.0005008640883151142,0.001350757958056048,0.00025216367242134855,0.006855159566622963,0.0015596763592446948,0.14313668625214354,0.12284284479253757,1.0
